ICMMID,Confidence_Factor,Mine_Name,Group Names,Latitude,Longitude,Asset_Type,Country,Primary_Commodity,Secondary_Commodity,Other_Commodities
ICMM00233,Very Low,Sara Kreek,,4.40135,-54.6992,Mine,Suriname,gold,,
ICMM00241,Very Low,Felix,Felix;Saint Leon,3.88096,-53.37075,Mine,French Guiana,gold,,
ICMM00249,Very Low,Rufin Valley,,3.65139,-54.0992,Mine,Suriname,gold,,
ICMM00252,Very Low,Cano Yagua,,3.56113,-66.5573,Mine,Venezuela,gold,,
ICMM00254,Very Low,La Palestina,,3.41948,-75.4775,Mine,Colombia,barium,,
ICMM00264,Moderate,Salamangone,Salamangone;Novo Astro,2.309065,-51.632915,Mine,Brazil,gold,,
ICMM00291,Very Low,Agua Branca,,-0.46505,-59.9327,Mine,Brazil,tin,,
ICMM00295,Very Low,Cariri,,-0.99835,-62.8994,Mine,Brazil,tin,,
ICMM00314,Moderate,Leon,Leon;Rio Chico,-2.98296,-79.70091,Mine,Ecuador,gold,,
ICMM00317,Moderate,Pinglio 1,Pinglio 1;Pinglio Pinglio Uno,-3.00773,-79.63055,Mine,Ecuador,gold,,
ICMM00320,Very Low,Gigantones,,-3.18575,-79.554,Mine,Ecuador,gold,,
ICMM00324,Very Low,Bertha,,-3.37324,-78.5831,Mine,Ecuador,barium,,
ICMM00329,Moderate,Portovelo Gold Mines,Portovelo Gold Mines;Grand,-3.64046,-79.5893,Mine,Ecuador,gold,lead,copper;cadmium
ICMM00330,Moderate,Portovelo,Portovelo;Zaruma;Minanca;American Mine;Miranda Alto;Vizcaya,-3.701568333,-79.61761833,Mine,Ecuador,gold,silver,lead;copper;zinc
ICMM00334,Moderate,Campanilla,Campanilla;Nambija District;Campanilla,-4.04752,-78.79144333,Mine,Ecuador,copper,gold,
ICMM00335,Very Low,Itaiutuba Mine,,-4.03388,-53.1227,Mine,Brazil,tin,,
ICMM00340,Very Low,Quixeramobim,,-5.38141,-39.1489,Mine,Brazil,lithium,,
ICMM00341,Very Low,Bonfim,,-5.58142,-36.6656,Mine,Brazil,tungsten,,
ICMM00343,Very Low,Saco Sao Vicente,,-5.68142,-36.7989,Mine,Brazil,tungsten,,
ICMM00345,Very Low,Cafuca,,-5.74391,-36.3542,Mine,Brazil,tungsten,,
ICMM00346,Very Low,Abrigo,,-5.76475,-36.7656,Mine,Brazil,tungsten,,
ICMM00349,Very Low,Fazenda Bonfim Tungsten I,,-5.83141,-36.1156,Mine,Brazil,tungsten,,
ICMM00351,Very Low,Boqueirao,,-5.84807,-36.0822,Mine,Brazil,tungsten,,
ICMM00352,Very Low,Sao Raimundo,,-5.8481,-52.4825,Mine,Brazil,tin,,
ICMM00353,Very Low,"Pindoba, Mazagao",,-5.86475,-36.9156,Mine,Brazil,tungsten,,
ICMM00355,Very Low,"Chupador, Trapia, Cacador",,-5.8814,-36.2822,Mine,Brazil,tungsten,,
ICMM00358,Very Low,Louros Mine Tungsten,,-5.96474,-36.0655,Mine,Brazil,tungsten,,
ICMM00359,Moderate,"Queimada, Riachao","Queimada, Riachao;Bodo",-5.9867,-36.4148,Mine,Brazil,tungsten,,
ICMM00361,Very Low,"Saco Dos Cavalos, Agua Fria",,-6.01474,-37.0989,Mine,Brazil,tungsten,,
ICMM00362,Very Low,Fazenda Muricio,,-6.06059,-49.7719,Mine,Brazil,gold,,
ICMM00363,High,Tocantinzinho,Garimpo Maene Farias;Tocantinzinho,-6.0587455,-56.296634,Mine,Brazil,gold,,
ICMM00365,High,Igarape Bahia,Igarape Bahia;Vale Serra Norte Complex Mine;Serra Norte,-6.083059667,-50.17569467,Mine,Brazil,gold,iron ore,
ICMM00367,Very Low,Rio Pacu,,-6.0981,-57.366,Mine,Brazil,gold,,
ICMM00369,Very Low,Baixos I,,-6.14806,-37.1489,Mine,Brazil,tungsten,,
ICMM00370,Very Low,Barra Verde,,-6.16476,-36.4989,Mine,Brazil,tungsten,,
ICMM00371,Very Low,Sao Francisco,,-6.18139,-36.2822,Mine,Brazil,gold,,
ICMM00374,Very Low,"Mamoal, Nazario, Igarape Arraias",,-6.23142,-55.8493,Mine,Brazil,tin,,
ICMM00375,Very Low,Brejui,Brejui;Sao Sebastiao Tungsten;Northeast Brazil Tin,-6.24805,-36.51,Mine,Brazil,tin,tungsten,
ICMM00376,Very Low,Saco Dos Veados,,-6.26472,-36.5822,Mine,Brazil,tungsten,,
ICMM00377,Very Low,Barra Verde and Barra Vermelho Mines,,-6.28333,-36.5355,Mine,Brazil,tungsten,,
ICMM00378,Very Low,Malhada Limpa Tungsten,,-6.29805,-36.4489,Mine,Brazil,tungsten,,
ICMM00379,Very Low,Brejui,,-6.31472,-36.5822,Mine,Brazil,tungsten,,
ICMM00383,Very Low,"Acari, Jardim Do Serido",,-6.36472,-36.6989,Mine,Brazil,tungsten,,
ICMM00387,Very Low,Garimpo Sao Domingos,,-6.38141,-56.2826,Mine,Brazil,gold,,
ICMM00389,Very Low,Minera Baribent,,-6.3898,-79.1048,Mine,Peru,barium,,
ICMM00390,High,Sossego,Sossego;Sossego;Sossego;Sossego,-6.41272796,-50.06341509,Mine,Brazil,copper,gold,
ICMM00394,Very Low,"Diniz, Sabuji, Retiro",,-6.44804,-37.3322,Mine,Brazil,tungsten,,
ICMM00397,Very Low,"Timbauba, Alto Alegre",,-6.46471,-37.7489,Mine,Brazil,tungsten,,
ICMM00398,Very Low,Garimpo Agua Branca,,-6.51474,-50.2825,Mine,Brazil,tin,,
ICMM00399,Very Low,Quixere,,-6.55387,-37.1581,Mine,Brazil,tungsten,,
ICMM00400,Very Low,Maloquinha,,-6.6314,-57.466,Mine,Brazil,tin,,
ICMM00403,Very Low,Malhada Dos Angicos,,-6.69803,-36.7489,Mine,Brazil,tungsten,,
ICMM00405,Very Low,Rio Surubim,,-6.71474,-56.2493,Mine,Brazil,tin,,
ICMM00406,Moderate,Carolina Gubbins,Carolina Gubbins;Tantahuatay,-6.721665,-78.66681,Mine,Peru,copper,gold,arsenic;lead;silver
ICMM00407,Very Low,Igarape Santo Antonio,,-6.7314,-57.5493,Mine,Brazil,tin,,
ICMM00410,High,Cerro Corona,Alfa Y Arpon;Los Negros Mine;Hualgayoc;Cerro Corona;Hualgayoc Unit;Cerro Corona,-6.757830917,-78.61678817,Mine,Peru,gold,copper,lead;silver;zinc
ICMM00413,Moderate,Creporizinho,Creporizinho;Creporizinho,-6.80681,-56.611005,Mine,Brazil,gold,,
ICMM00416,Very Low,Garimpo Mundico Coelho,,-6.83139,-56.8326,Mine,Brazil,gold,,
ICMM00418,Very Low,Fazenda Diadema,,-6.87277,-50.155,Mine,Brazil,gold,,
ICMM00419,Very Low,Garimpo Comanxim,,-6.87805,-50.448,Mine,Brazil,gold,,
ICMM00425,Very Low,Punre Copper 24,,-7.00641,-78.2831,Mine,Peru,silver,,
ICMM00428,Very Low,Rio Marupa,,-7.04805,-56.9159,Mine,Brazil,gold,,
ICMM00432,Very Low,Cabeceiras Do Rio Novo,,-7.29804,-56.5659,Mine,Brazil,gold,,
ICMM00433,Very Low,Rio Manicore Jatuarana,,-7.33137,-61.0827,Mine,Brazil,tin,,
ICMM00436,Very Low,San Judas Tadeo Iv,,-7.38417,-79.0895,Mine,Peru,silver,,
ICMM00437,Very Low,Colloadar Lead Zinc Mine 11,,-7.39806,-78.5748,Mine,Peru,zinc,,
ICMM00442,Moderate,Sayapullo,Sayapullo;Sayapullo;Sayaatoc,-7.599296667,-78.47237333,Mine,Peru,copper,silver,gold;lead;antimony;zinc
ICMM00443,Very Low,Algamarca,,-7.61475,-78.0498,Mine,Peru,silver,,
ICMM00445,Very Low,Pataz Gold 54,,-7.77582,-77.5998,Mine,Peru,gold,copper,
ICMM00449,Very Low,Garimpo Mafui,,-7.88135,-62.1494,Mine,Brazil,tin,,
ICMM00452,Very Low,Salpo Milluachaqui Gold Silver 45,Salpo Milluachaqui Gold Silver 45;Carola,-7.989900034,-78.59269286,Mine,Peru,gold,zinc,
ICMM00453,High,Luz Angelica Coco Mine,Luz Angelica Coco Mine;Quiruvilca;Quiruvilca;Quiruvilca,-8.006873563,-78.31863284,Mine,Peru,gold,copper,lead;silver;zinc
ICMM00454,Very Low,Rio Marmelos Mafui,,-8.01468,-61.8494,Mine,Brazil,tin,,
ICMM00459,Moderate,"Tamboras Y Mundo Nuevo, Minas","Tamboras Y Mundo Nuevo, Minas;Campaccha",-8.05067,-77.969845,Mine,Peru,copper,gold,lead;molybdenum;silver;tungsten;zinc
ICMM00464,Very Low,Igarape Preto,,-8.248,-60.8494,Mine,Brazil,tin,,
ICMM00475,Very Low,"Animas, Mina",,-8.89855,-78.2526,Mine,Peru,silver,,
ICMM00477,Very Low,"Vale Un Peru, Mina",,-8.99798,-78.0331,Mine,Peru,silver,,
ICMM00479,Very Low,"Amistad, Mina",,-9.07299,-77.4581,Mine,Peru,silver,,
ICMM00480,Very Low,Garimpo Central Do Juruena,,-9.08129,-58.566,Mine,Brazil,gold,,
ICMM00481,Very Low,Poco,,-9.11467,-63.1494,Mine,Brazil,tin,,
ICMM00483,Very Low,Duduca,,-9.14797,-62.9827,Mine,Brazil,tin,,
ICMM00484,Very Low,Jacunda,,-9.14797,-62.8994,Mine,Brazil,tin,,
ICMM00488,Very Low,Santa Barbara,,-9.19796,-63.0494,Mine,Brazil,tin,,
ICMM00489,Very Low,"Los Brillantes, Mina",,-9.20631,-76.5372,Mine,Peru,silver,,
ICMM00490,Very Low,"Sao Francisco, Tiririca",,-9.21463,-61.416,Mine,Brazil,tin,,
ICMM00491,Very Low,Rio Coti,,-9.21464,-65.0161,Mine,Brazil,tin,,
ICMM00496,Very Low,Morro Potosi,,-9.26463,-62.8661,Mine,Brazil,tin,,
ICMM00497,Very Low,"El Extrano, Mina",,-9.26465,-77.9164,Mine,Peru,silver,,
ICMM00499,Very Low,Sao Francisco,,-9.28126,-61.4494,Mine,Brazil,tin,,
ICMM00500,Very Low,Buena Cashma,Buena Cashma;Mangan,-9.29923,-77.78195,Mine,Peru,silver,,
ICMM00502,Very Low,Rio Das Garcas,,-9.29796,-64.1328,Mine,Brazil,tin,,
ICMM00504,Very Low,"Queimada, Cachoeirinha",,-9.31463,-62.2827,Mine,Brazil,tin,,
ICMM00506,Very Low,Macisa Mine,,-9.33126,-65.0827,Mine,Brazil,tin,,
ICMM00508,Very Low,"Poderosa, Mina",,-9.3313,-77.1664,Mine,Peru,silver,,
ICMM00510,Very Low,"Sao Lourenco, Macisa, Caripunas, Limeira",,-9.36463,-64.9994,Mine,Brazil,tin,,
ICMM00511,Very Low,Rio Jaci Parana,,-9.36463,-64.3828,Mine,Brazil,tin,,
ICMM00512,Very Low,"Curayacu, Mina",,-9.36464,-77.5498,Mine,Peru,silver,,
ICMM00514,Very Low,"Buriti, Bom Futuro, Olho Diagua",,-9.38129,-62.9161,Mine,Brazil,tin,,
ICMM00516,Very Low,Caritianas,,-9.39796,-63.0661,Mine,Brazil,tin,,
ICMM00517,Very Low,"Decorfa Uno, Mina",,-9.39797,-77.5664,Mine,Peru,silver,,
ICMM00519,Very Low,Ceriumbras Best Group,,-9.44796,-65.1328,Mine,Brazil,tin,,
ICMM00520,Very Low,Sao Lourenco,,-9.44796,-65.0328,Mine,Brazil,tin,,
ICMM00521,Very Low,Igarape Alves,,-9.46463,-65.1661,Mine,Brazil,tin,,
ICMM00522,Very Low,"Contonga, Mina",,-9.46464,-77.4664,Mine,Peru,silver,,
ICMM00523,Very Low,"El Milagro, Mina",,-9.46464,-77.2331,Mine,Peru,silver,,
ICMM00524,High,Pierina,Jecanca Lead Zinc Mine 24;Jecana;Pierina;Pierina;Pierina;Pierina,-9.463057033,-77.58471134,Mine,Peru,gold,silver,lead;copper
ICMM00525,Very Low,"Esperada, Mina",,-9.4813,-77.6998,Mine,Peru,silver,,
ICMM00527,Very Low,"La Esperanza De Huaraz, Mina",,-9.49797,-77.8831,Mine,Peru,silver,copper,
ICMM00531,Very Low,Wolfram Fortuna,,-9.50797,-77.1198,Mine,Peru,tungsten,,
ICMM00532,Very Low,"Chacpar, Mina",,-9.51463,-72.3663,Mine,Peru,silver,,
ICMM00537,Very Low,Oriente Novo,,-9.54795,-62.4161,Mine,Brazil,tin,,
ICMM00538,High,Antamina,"Rosita De Oro, Mina;Antamina Mine;Antamina;Antamina;Antamina",-9.548430146,-77.0551033,Mine,Peru,copper,zinc,silver;molybdenum;lead
ICMM00542,Very Low,"Los Tres Reyes, Mina",,-9.58129,-77.497,Mine,Peru,silver,,
ICMM00543,Very Low,"El Shira, Mina",,-9.58129,-74.843,Mine,Peru,gold,,
ICMM00544,Very Low,Chagla,,-9.59796,-76.2997,Mine,Peru,barium,,
ICMM00546,Very Low,"Mi Porvenir, Mina",,-9.64796,-77.1664,Mine,Peru,silver,,
ICMM00548,Very Low,"Don Lorenzo, Mina",,-9.66463,-77.4998,Mine,Peru,silver,,
ICMM00549,Very Low,"San Elias, Mina.",,-9.68129,-77.8414,Mine,Peru,silver,,
ICMM00551,Very Low,"Tambillos, Mina",,-9.70129,-77.2164,Mine,Peru,silver,,
ICMM00554,Very Low,"Patricia A.P.R., Mina",,-9.73129,-77.3497,Mine,Peru,silver,antimony,
ICMM00557,High,Huancapeti,"Santa Elenita, Mina;Huancapeti;Tarugo;Hercules;Tarugo Mine;Aija;Juan Julio No 2, Mina;Huancapeti;Huancapeti",-9.764975278,-77.53752564,Mine,Peru,lead,silver,gold;copper;antimony;zinc
ICMM00559,Very Low,"Santa Deda No 2, Mina",,-9.78129,-77.6331,Mine,Peru,silver,,
ICMM00560,Very Low,San Carlos,,-9.79794,-63.0327,Mine,Brazil,tin,,
ICMM00561,Very Low,"San Salvador, Mina","San Salvador, Mina;Alerta, Mina;Juan Julio, Mina",-9.82388,-77.46103333,Mine,Peru,silver,,
ICMM00563,Very Low,Taquarras,,-9.82877,-65.2792,Mine,Brazil,gold,,
ICMM00565,Very Low,"Nuestra Senora Del Rosario, Mina",,-9.83962,-77.8414,Mine,Peru,silver,,
ICMM00566,High,Caraiba,Caraiba Copper Deposit;Caraiba;CaraÃ­ba;MCSA Mining Complex SXEW;Jaguarari Caraiba,-9.864831575,-39.8674088,Mine,Brazil,copper,gold,cobalt;nickel;palladium;platinum;rhodium;silver
ICMM00568,High,Huanzala,"Huanzala;San Jose De Huan.;Huanzala;Monte De Chiripac, Mina;Carmen Del Macizo, Mina;Huanzala Mine;Huanzala (Santa Luisa);Huanzala",-9.873557139,-76.99470062,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00570,Very Low,Sirena Encantadora Mine,,-9.89295,-77.0578,Mine,Peru,silver,,
ICMM00579,Very Low,Cia Estanifera,,-9.99792,-60.9994,Mine,Brazil,tin,,
ICMM00583,Very Low,"Gorrioncito, Mina","Gorrioncito, Mina;El Cojo, Mina",-10.02295,-77.4206,Mine,Peru,silver,,
ICMM00584,Very Low,"Jhon Rafael, Mina",,-10.0313,-77.3331,Mine,Peru,silver,,
ICMM00587,Very Low,Massangana,,-10.0479,-63.3827,Mine,Brazil,tin,,
ICMM00589,Very Low,"San Hilarion, Mina",,-10.1479,-77.3331,Mine,Peru,silver,,
ICMM00590,Very Low,"Labor Pata, Sitio",,-10.1507,-76.3797,Mine,Peru,silver,,
ICMM00591,Moderate,Cordelia Mine,Ccordelia Mine;Pallca;Pallca,-10.19799333,-76.96199667,Mine,Peru,lead,zinc,antimony
ICMM00601,Very Low,"Cabeza De Toro, Mina","Cabeza De Toro, Mina;Santa Ana De Tusi, Mina",-10.4396,-76.34765,Mine,Peru,silver,,
ICMM00602,Very Low,"El Dorado, Mina",,-10.4413,-77.3997,Mine,Peru,silver,,
ICMM00604,Moderate,Unidad Minera Caudalosa,Unidad Minera Caudalosa;Vinchos;Vinchos,-10.44295257,-76.27845306,Mine,Peru,silver,lead,copper;zinc
ICMM00605,Very Low,Yana Mallcu,,-10.4646,-66.4662,Mine,Bolivia,tin,,
ICMM00610,Very Low,"Colquipucro, Mina",,-10.4829,-76.5145,Mine,Peru,silver,,
ICMM00621,Very Low,Cortezdredge,,-10.5479,-63.7161,Mine,Brazil,tin,,
ICMM00623,Very Low,Milpo Mine,Milpo Mine;Atacocha,-10.56885238,-76.18748222,Mine,Peru,zinc,lead,silver;copper
ICMM00628,High,El Porvenir,"Evita No. 1, Mina;El Porvenir Mine;Milpo 1;Atacocha;El Porvenir (Peru);El Porvenir;Atacocha",-10.59990109,-76.20962215,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00631,High,Raura,Raura;Minas Raura De Cajatambo Zinc Lead Deposit 6,-10.6479,-76.733,Mine,Peru,zinc,lead,silver;copper
ICMM00632,High,Cerro de Pasco,"El Pilar, Mina;Cerro De Pasco;Cerro de Pasco;Paragsha;Cerro de Pasco;Cerro de Pasco;Cerro de Pasco;Silver Stockpiles;Paragsha Plant;San Expedito Concentrator;Oxide Plant Plant",-10.67252514,-76.25736157,Mine,Peru,silver,zinc,lead;copper;gold;tin
ICMM00633,Moderate,Condorsenga Lead Zinc Mine 4,Condorsenga Lead Zinc Mine 4;Condorsenga,-10.66043,-77.00053,Mine,Peru,lead,zinc,silver;copper
ICMM00637,High,Isquez Lead Zinc Mine 9,Isquez Lead Zinc Mine 9;Mallay;Mallay,-10.68523526,-76.8632394,Mine,Peru,lead,zinc,silver;copper
ICMM00638,High,El Brocal (Colquijirca),"Colquijirca, Mina;Colquijirca and Marcapunta Mines;Colquijica;Marcapunta;Tajo Norte;El Brocal (Colquijirca);El Brocal;Colquijirca",-10.75328153,-76.26704665,Mine,Peru,zinc,lead,silver;copper;gold
ICMM00639,Very Low,Rio Mato Cavalo,,-10.771,-53.089,Mine,Brazil,platinum,,
ICMM00643,Very Low,Best Mine,,-10.918,-62.8433,Mine,Brazil,tin,,
ICMM00645,Very Low,Cia Minera Agregados,,-10.9979,-76.9997,Mine,Peru,barium,,
ICMM00649,Very Low,Huaron Mines,,-11.0146,-76.4497,Mine,Peru,silver,zinc,lead;copper;antimony
ICMM00650,Very Low,Madre De Dios Placers,,-11.0146,-66.0828,Mine,Bolivia,gold,tin,
ICMM00651,Very Low,Macambira,,-11.0312,-61.2827,Mine,Brazil,tin,,
ICMM00652,High,Chungar,Chungar;Chungar;Chungar;Chungar,-11.03657579,-76.41728425,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00654,Very Low,Rio 14 De Abril,,-11.0979,-60.8327,Mine,Brazil,tin,,
ICMM00655,Very Low,"Colquisa No. 1, Mina",,-11.114,-76.352,Mine,Peru,silver,,
ICMM00656,Moderate,Santander,Santander;Chungar Contact Metasomatic Copper 45;Chungar,-11.1223861,-76.5323824,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00662,High,Santander,"San Expedito;Santander;Santander, Peru;Santander, Peru",-11.19465,-76.51065,Mine,Peru,zinc,lead,copper
ICMM00670,Very Low,Rio Roosevelt,,-11.2645,-60.5327,Mine,Brazil,tin,,
ICMM00673,Very Low,Chanchamina Gold Silver Lead Deposit #46,,-11.3812,-75.783,Mine,Peru,gold,zinc,
ICMM00675,High,Fazenda Brasileiro,Fazenda Brasileiro;Fazenda;Fazenda Brasileiro,-11.45505442,-39.07964863,Mine,Brazil,gold,,
ICMM00676,Moderate,Maria Teresa,Maria Teresa;Maria Teresa;Maria Teresa,-11.4922134,-77.26940444,Mine,Peru,silver,lead,zinc;barium;copper
ICMM00680,Very Low,Vila De Itapura,,-11.5561,-40.4614,Mine,Brazil,barium,,
ICMM00681,High,Morococha,Morococha;Casapalca Gubbins Group;Morococha,-11.5819,-76.17756667,Mine,Peru,silver,lead,tungsten;copper;zinc
